CODE,CENTER_LAT,CENTER_LON
5112092,12.498833691001687,92.4167975180046
5112093,12.503448461344066,93.50381295788387
5112094,12.500000000000002,94.5
5112095,12.500000000000002,95.5
5112096,12.500000000000002,96.5
5112097,12.501506825355728,97.4958812555876
5112098,12.513781928594378,98.30955322560811
5113041,13.94068287588643,41.863948378196234
5113042,13.587094568188734,42.60158559282127
5113043,13.457873206304571,43.133741082399595
5113045,13.163536946793956,45.73525845233025
5113046,13.219897061536376,46.52282451172766
5113047,13.395481502543074,47.55882392463329
5113048,13.498674018997626,48.50066733289447
5113049,13.500000000000002,49.5
5113050,13.500000000000002,50.5
5113051,13.500000000000002,51.5
5113052,13.500000000000002,52.5
5113053,13.500000000000002,53.5
5113054,13.500000000000002,54.5
5113055,13.500000000000002,55.5
5113056,13.500000000000002,56.5
5113057,13.500000000000002,57.5
5113058,13.500000000000002,58.5
5113059,13.500000000000002,59.5
5113060,13.500000000000002,60.5
5113061,13.500000000000002,61.5
5113062,13.500000000000002,62.5
5113063,13.500000000000002,63.5
5113064,13.500000000000002,64.5
5113065,13.500000000000002,65.5
5113066,13.500000000000002,66.5
5113067,13.500000000000002,67.5
5113068,13.500000000000002,68.5
5113069,13.500000000000002,69.5
5113070,13.500000000000002,70.5
5113071,13.500000000000002,71.5
5113072,13.500000000000002,72.5
5113073,13.500000000000002,73.5
5113074,13.472401852559079,74.34021406862927
5113080,13.515805299708687,80.6364003796415
5113081,13.500000000000002,81.5
5113082,13.500000000000002,82.5
5113083,13.500000000000002,83.5
5113084,13.500000000000002,84.5
5113085,13.500000000000002,85.5
5113086,13.500000000000002,86.5
5113087,13.500000000000002,87.5
5113088,13.500000000000002,88.5
5113089,13.500000000000002,89.5
5113090,13.500000000000002,90.5
5113091,13.500000000000002,91.5
5113092,13.522011782328706,92.46385189740624
5113093,13.50437433309175,93.51241855925852
5113094,13.500035848323023,94.5001170340764
5113095,13.500000000000002,95.5
5113096,13.500000000000002,96.5
5113097,13.4994568808342,97.4993544687544
5113098,13.3484298569674,98.22481685652016
5114040,14.88448708292868,40.77733333324877
5114041,14.588949550770137,41.60028773359489
5114042,14.494430781583414,42.487309777141796
5114043,14.176207352560809,43.03650705488726
5114047,14.01840156396372,47.96446281840722
5114048,14.086568293365868,48.778613782133604
5114049,14.348313142548207,49.55134145118559
5114050,14.476340585563024,50.51863674309924
5114051,14.500000000000002,51.5
5114052,14.500000000000002,52.5
5114053,14.500000000000002,53.5
5114054,14.500000000000002,54.5
5114055,14.500000000000002,55.5
5114056,14.500000000000002,56.5
5114057,14.500000000000002,57.5
5114058,14.500000000000002,58.5
5114059,14.500000000000002,59.5
5114060,14.500000000000002,60.5
5114061,14.500000000000002,61.5
5114062,14.500000000000002,62.5
5114063,14.500000000000002,63.5
5114064,14.500000000000002,64.5
5114065,14.500000000000002,65.5
5114066,14.500000000000002,66.5
5114067,14.500000000000002,67.5
5114068,14.500000000000002,68.5
